Name,Age,Potential,Position,Overall
S. Milinkovi?-Savi?,23,90,CM,85
Marco Asensio,22,92,RW,85
N. Fekir,24,89,CAM,85
Alisson,25,90,GK,85
J. Kimmich,23,88,RCM,85
Sa£l,23,90,RCM,85
R. Mahrez,27,85,RW,85
D. Alaba,26,87,LB,85
Koke,26,86,LM,85
A. Lacazette,27,86,ST,85
K. Manolas,27,87,LCB,85
N. Otamendi,30,85,CB,85
Parejo,29,85,RCM,85
Paulinho,29,85,LDM,85
W. Szcz?sny,28,87,GK,85
A. S nchez,29,85,RW,85
Y. Brahimi,28,85,LM,85
J. Boateng,29,85,RCB,85
A. Vidal,31,85,CAM,85
I. Peri?i?,29,85,LM,85
E. D?eko,32,85,ST,85
S. Khedira,31,85,RCM,85
Diego Costa,29,85,LS,85
R. Nainggolan,30,85,CAM,85
Naldo,35,85,CB,85
B. Matuidi,31,85,LM,85
Miranda,33,85,CB,85
K. Benzema,30,85,ST,85
Filipe Lu¡s,32,85,LB,85
V. Kompany,32,85,CB,85
Pepe,35,85,RCB,85
Z. Ibrahimovi?,36,85,RS,85
D. S nchez,22,88,RCB,84
J. Gim‚nez,23,88,RCB,84
Alex Telles,25,87,LB,84
A. Laporte,24,88,LCB,84
Bruno Fernandes,23,88,LCM,84
N. Sle,22,90,CB,84
A. Martial,22,90,LW,84
D. Alli,22,90,LCM,84
Fabinho,24,88,CDM,84
Marquinhos,24,89,LDM,84
William Carvalho,26,86,CDM,84
Jorginho,26,87,CM,84
F. Thauvin,25,87,RM,84
Carvajal,26,87,RB,84
M. Depay,24,89,ST,84
H. Son,25,85,LM,84
A. Lopes,27,86,GK,84
S. de Vrij,26,86,CB,84
M. Perin,25,89,GK,84
J. Cuadrado,30,84,RAM,84
Iago Aspas,30,84,ST,84
B. Leno,26,87,GK,84
N. Mati?,29,84,CDM,84
L. Hr deck?,28,84,GK,84
Illarramendi,28,84,RDM,84
K. Walker,28,84,RB,84
I. Gndo?an,27,84,CM,84
Jos‚ Callej¢n,31,84,RM,84
A. Di Mar¡a,30,84,RM,84
M. Mand?uki?,32,84,ST,84
Willian,29,84,RW,84
Sergio Asenjo,29,85,GK,84
E. Banega,30,84,CDM,84
A. Witsel,29,84,LCM,84
D. Payet,31,84,CAM,84
Jonas,34,84,ST,84
Sokratis,30,84,RCB,84
S. Ruffier,31,84,GK,84
Falcao,32,84,RS,84
K. Schmeichel,31,84,GK,84
Ra£l Albiol,32,84,RCB,84
A. G¢mez,30,84,LS,84
A. Barzagli,37,84,CB,84
Quaresma,34,84,RM,84
A. Robben,34,84,RM,84
O. Demb‚l‚,21,92,RW,83
Gabriel Jesus,21,92,ST,83
Ronaldo Cabrais,26,83,RW,83
Josu‚ Chiamulera,26,83,LCB,83
Louri Beretta,26,83,ST,83
P. Kimpembe,22,89,LCB,83
N. Ke‹ta,23,88,CM,83
C. Tolisso,23,88,CM,83
T. Lemar,22,89,LM,83
K. Coman,22,87,LM,83
J. Tah,22,88,CB,83
Anderson Talisca,24,90,CAM,83
T. Werner,22,87,RW,83
A. Rabiot,23,87,CM,83
L. Goretzka,23,88,CM,83
Q. Promes,26,84,RM,83
H. Ziyech,25,86,RAM,83
Lucas V zquez,27,83,RW,83
Y. Carrasco,24,86,LM,83
Gerard Moreno,26,85,LS,83
Felipe,29,83,RCB,83
M. Kova?i?,24,89,LCM,83
Kepa,23,91,GK,83
Manu Trigueros,26,84,RCM,83
S. Gnabry,22,88,ST,83
J. Pickford,24,88,GK,83
S. Savi?,27,86,CB,83
J. Stones,24,87,RCB,83
Suso,24,86,RW,83
J. Draxler,24,86,CM,83
Felipe Anderson,25,85,LM,83
Lucas Moura,25,84,RM,83
Danilo Pereira,26,86,CDM,83
Nacho Fern ndez,28,85,CB,83
T. Horn,25,87,GK,83
Allan,27,83,RCM,83
F. Acerbi,30,83,CB,83
Sergi Roberto,26,86,RB,83
Rodrigo,27,84,ST,83
Pizzi,28,83,LCM,83
K. Kampl,27,83,LCM,83
Neto,28,84,GK,83
O. Baumann,28,84,GK,83
I. Gueye,28,83,RDM,83
H. Mkhitaryan,29,83,RM,83
Marcos Alonso,27,84,LB,83
D. Suba?i?,33,83,GK,83
K. Glik,30,83,RCB,83
K. Strootman,28,83,CDM,83
B. Dost,29,83,ST,83
Oscar,26,84,LCM,83
M. Balotelli,27,83,LS,83
Luiz Gustavo,30,83,LCB,83
Giuliano,28,83,CAM,83
David Luiz,31,83,LCB,83
R. F„hrmann,29,84,GK,83
Juan Mata,30,83,RM,83
Ad n,31,83,GK,83
Rui Patr¡cio,30,83,GK,83
Y. Sommer,29,84,GK,83
Javi Mart¡nez,29,83,CDM,83
L. Bender,29,83,RB,83
Lucas Leiva,31,83,LDM,83
S. Mandanda,33,83,GK,83
Cesc F…bregas,31,83,CM,83
M. Demb‚l‚,30,83,CM,83
F. Rib‚ry,35,83,LM,83
R. Jarstein,33,83,GK,83
D. De Rossi,34,83,RDM,83
Pepe Reina,35,83,GK,83
J. Pavlenka,26,85,GK,82
M. de Ligt,18,91,RCB,82
Rodri,22,87,CM,82
Arthur,21,90,LCM,82
G. Donnarumma,19,93,GK,82
Rosberto Dourado,30,82,RCM,82
Juiano Mestres,34,82,RCB,82
Raphaelito Anjos,30,82,GK,82
Gelson Martins,23,87,RM,82
Gon‡alo Guedes,21,86,LM,82
L. Torreira,22,87,LCM,82
Malcom,21,89,RW,82
Pau L¢pez,23,87,GK,82
L. Hern ndez,22,88,LB,82
C. Lenglet,23,88,LCB,82
A. Kramari?,27,83,LCM,82
A. Robertson,24,87,LB,82
Dani Garc¡a,28,83,RCM,82
F. Bernardeschi,24,87,RM,82
J. Brandt,22,88,LM,82
D. Rugani,23,86,CB,82
Samu Castillejo,23,86,RM,82
Jo?o Cancelo,24,88,RB,82
A. Romagnoli,23,89,LCB,82
T. Partey,25,88,CDM,82
Fred,25,84,CM,82
J. Vardy,31,82,ST,82
A. Belotti,24,87,LS,82
E. Forsberg,26,83,LM,82
J. Lingard,25,83,CAM,82
F. V zquez,29,82,LCM,82
E. Vi??a,28,82,RM,82
A. Rdiger,25,84,CB,82
A. Florenzi,27,83,RB,82
H. Maguire,25,85,LCB,82
T. Meunier,26,83,RM,82
S. San‚,27,82,CB,82
G. Kondogbia,25,85,CM,82
Rafinha,25,87,CAM,82
Gabriel Paulista,27,83,LCB,82
Morata,25,85,ST,82
J. Cillessen,29,84,GK,82
W. Ben Yedder,27,82,RS,82
C. Bakambu,27,83,ST,82
Pablo Sarabia,26,83,RCM,82
W. Zaha,25,85,LS,82
Luis Alberto,25,85,CF,82
Jonathan Viera,28,82,LF,82
Bartra,27,83,CB,82
S. Coates,27,83,RCB,82
Willian Jos‚,26,83,ST,82
M rio Fernandes,27,82,RB,82
V¡ctor Ruiz,29,83,LCB,82
T. Delaney,26,83,LCM,82
K. Casteels,26,85,GK,82
M. G”tze,26,85,CM,82
S. Mustafi,26,84,RCB,82
J. Pastore,29,82,CAM,82
Pedro,30,82,RW,82
G. Bonaventura,28,82,CM,82
R. Brki,27,85,GK,82
Taison,30,82,LM,82
S. Nzonzi,29,82,CDM,82
Marlos,30,82,RM,82
A. Ramsey,27,83,CAM,82
K. Trippier,27,82,RB,82
A. Kolarov,32,82,LB,82
G. Sigur?sson,28,82,CAM,82
S. Giovinco,31,82,CF,82
M. Arnautovi?,29,82,LS,82
N. Gait n,30,82,CAM,82
J. Henderson,28,82,RCM,82
M. Kruse,30,82,ST,82
M. Parolo,33,82,RDM,82
L. Fejsa,29,82,CDM,82
A. Rami,32,82,RCB,82
V. ?orluka,32,82,LCB,82
G. Wijnaldum,27,82,CAM,82
F. Fazio,31,82,LCB,82
O. Giroud,31,82,ST,82
Marcano,31,82,CB,82
A. Guardado,31,82,CM,82
E. Garay,31,82,RCB,82
Jardel,32,82,LCB,82
S. Sirigu,31,82,GK,82
E. Viviano,32,82,GK,82
L. Koscielny,32,82,CB,82
A. Consigli,31,82,GK,82
L. Biglia,32,82,CDM,82
Dani Alves,35,82,RB,82
David Villa,36,82,ST,82
Aduriz,37,82,ST,82
P. ?ech,36,82,GK,82
Casillas,37,82,GK,82
M. Rashford,20,89,LW,81
Laure Santeiro,30,81,CAM,81
L. Bailey,20,89,LM,81
M. Akanji,22,87,LCB,81
F. de Jong,21,89,LDM,81
N‚lson Semedo,24,86,RB,81
Pablo Fornals,22,86,CAM,81
Fabi n,22,89,LM,81
E. Bailly,24,87,CB,81
Dani Ceballos,21,88,LCM,81
H. Lozano,22,86,LS,81
Morales,30,81,LS,81
J. Seri,26,82,LDM,81
M. Politano,24,84,RM,81
M. Brozovi?,25,84,LDM,81
Williams,24,87,LW,81
A. Correa,23,87,RM,81
A. Christensen,22,88,LCB,81
Jo?o M rio,25,84,CAM,81
T. Strakosha,23,86,GK,81
E. Hysaj,24,86,RB,81
P. Zieli?ski,24,88,RCM,81
Ricardo Pereira,24,85,RB,81
Grimaldo,22,87,LB,81
R. Guerreiro,24,86,LM,81
A. Doucour‚,25,85,RDM,81
J. Mart¡nez,25,84,LS,81
C. Bacca,31,81,LS,81
A. Plea,25,83,LW,81
B. Davies,25,84,LB,81
M. Nastasi?,25,84,LCB,81
A. Milik,24,88,CF,81
M. Sabitzer,24,84,LM,81
B. Mendy,23,86,LB,81
C. Kramer,27,82,CDM,81
S. Vrsaljko,26,84,RB,81
T. Hazard,25,83,RW,81
K. Bellarabi,28,81,RM,81
S. Zaza,27,82,RS,81
F. Ghoulam,27,82,LB,81
B. Lecomte,27,84,GK,81
J. Ili?i?,30,81,CAM,81
K. Volland,25,83,ST,81
Paco Alc cer,24,85,ST,81
Vitolo,28,81,LM,81
G. Xhaka,25,84,LDM,81
D. Tadi?,29,81,LAM,81
C. Ar nguiz,29,81,LDM,81
S. Verdi,25,81,RW,81
D. Lovren,28,82,RCB,81
G. Medel,30,81,RCB,81
X. Shaqiri,26,81,CAM,81
J. Corona,25,83,RM,81
A. Areola,25,85,GK,81
K. Vogt,26,82,CB,81
Ander Herrera,28,81,CM,81
E. Salvio,27,81,RW,81
S. El Shaarawy,25,82,LM,81
C. Smalling,28,82,RCB,81
Hulk,31,81,RCM,81
S. Kagawa,29,81,CAM,81
M. Lanzini,25,85,CAM,81
F. Smolov,28,81,ST,81
L. Stindl,29,81,CF,81
O. Toprak,28,82,CB,81
D. Perotti,29,81,LW,81
F. Muslera,32,81,GK,81
B. H”wedes,30,81,RCB,81
S. Kj‘r,29,81,RCB,81
S. Bender,29,81,LCB,81
M. Valbuena,33,81,LM,81
Pedro Le¢n,31,81,RM,81
K. Boateng,31,81,CM,81
L. Piszczek,33,81,RB,81
A. Candreva,31,81,RM,81
D. Wass,29,81,RB,81
E. Lamela,26,82,RM,81
D. Rose,27,81,LB,81
C. Vela,29,81,RW,81
Renato Augusto,30,81,LCM,81
A. Valencia,32,81,RM,81
L. Fabia?ski,33,81,GK,81
Jo?o Moutinho,31,81,RCM,81
Borja Valero,33,81,CAM,81
F. Quagliarella,35,81,RS,81
B. Gomis,32,81,ST,81
Manuel Fernandes,32,81,LM,81
H. Herrera,28,81,CM,81
Raffael,33,81,CF,81
Nani,31,81,LM,81
J. Milner,32,81,CM,81
J. Mathieu,34,81,LCB,81
Joaqu¡n,36,81,LS,81
M. G¢mez,21,85,ST,80
K. Havertz,19,89,CAM,80
T. Ndombele,21,89,CM,80
H. Aouar,20,90,LM,80
Carlos Soler,21,87,RM,80
Odriozola,22,88,RB,80
M. Almir¢n,24,84,CAM,80
Welington Dano,30,80,LB,80
Everton Andr?o,34,80,CDM,80
Oyarzabal,21,87,CAM,80
F. Balbuena,26,83,RCB,80
M. Marega,27,80,RS,80
B. Pavard,22,86,RB,80
W. Ndidi,21,85,LDM,80
A. Onana,22,85,GK,80
G. Lo Celso,22,86,RCM,80
M. Acu¤a,26,80,LB,80
R£ben Neves,21,87,LCM,80
Mariano,24,85,ST,80
Ra£l,28,80,CB,80
M. Caldara,24,86,CB,80
M. Vecino,26,81,LM,80
T. Bakayoko,23,85,LCM,80
M. Dahoud,22,86,CM,80
Rafa,25,83,RW,80
K. Bald‚,23,85,RM,80
G. Rulli,26,85,GK,80
F. Armani,31,80,GK,80
Rony Lopes,22,85,RM,80
Santi Mina,22,85,LS,80
K. Demirbay,24,84,RCM,80
Gay…,23,85,LB,80
Andr‚ Gomes,24,85,LDM,80
N. Tagliafico,25,82,LB,80
M. Sanson,23,85,RDM,80
Pacheco,26,83,GK,80
E. Can,24,85,CM,80
H. €alhano?lu,24,84,CAM,80
M. Ginter,24,82,RWB,80
M. Keane,25,83,RCB,80
L. Paredes,24,85,CM,80
T. Stepanenko,28,80,RDM,80
L. Shaw,22,85,LB,80
Z. Feddal,28,80,CB,80
S. Haller,24,83,RS,80
Bernard,25,81,LM,80
T. Inui,30,80,LM,80
Portu,26,81,RM,80
M. Batshuayi,24,84,ST,80
E. Zahavi,30,80,LS,80
T. Vacl¡k,29,81,GK,80
N. Pope,26,83,GK,80
H‚ctor Beller¡n,23,85,RB,80
P. Kade? bek,26,81,RWB,80
J. Butland,25,85,GK,80
J. Vestergaard,25,81,CB,80
J. Tarkowski,25,83,RCB,80
Deulofeu,24,82,RS,80
E. Dier,24,84,CDM,80
J. Murillo,26,84,LCB,80
M. Badelj,29,80,CDM,80
Ismaily,28,80,LB,80
N. Schulz,25,81,LWB,80
L. Digne,24,84,LB,80
M. Uth,26,81,ST,80
Cristian Tello,26,80,LM,80
D. Vida,29,80,LCB,80
L. Muriel,27,81,ST,80
V. Aboubakar,26,82,ST,80
A. Oxlade-Chamberlain,24,85,CM,80
S. Aurier,25,83,RB,80
J. Matip,26,82,CB,80
Y. Rakitskyi,28,80,LCB,80
Sergi Enrich,28,80,RS,80
A. Yarmolenko,28,80,RM,80
Hugo Mallo,27,81,RB,80
Andr‚ Almeida,27,80,RB,80
D. Didavi,28,80,CAM,80
R. Rodr¡guez,25,83,LB,80
R. Pereyra,27,80,LM,80
Mario Gaspar,27,80,RB,80
Maicon,29,80,CB,80
D. Blind,28,80,LB,80
J. Zoet,27,83,GK,80
A. Ljaji?,26,81,CAM,80
Canales,27,80,RCM,80
Iago Falqu‚,28,80,RW,80
L. de Jong,27,80,ST,80
Guaita,31,80,GK,80
Muniain,25,83,CAM,80
Susaeta,30,80,RW,80
S. Rudy,28,80,CDM,80
K. Trapp,27,81,GK,80
V. Wanyama,27,82,CDM,80
N. Nkoulou,28,80,CB,80
R. Boudebouz,28,80,CAM,80
Camacho,28,81,CDM,80
S. Ulreich,29,80,GK,80
M. Musacchio,27,80,RCB,80
C. Stuani,31,80,ST,80
P. Gul csi,28,80,GK,80
Bruno,34,80,CM,80
F. Delph,28,80,LB,80
A. Lallana,30,80,CM,80
Marcelo,31,80,RCB,80
S. Coleman,29,80,RWB,80
Alexandre Pato,28,80,ST,80
Antunes,31,80,LB,80
Nacho Monreal,32,80,LB,80
Be¤at,31,80,LCM,80
A. Fern ndez,32,80,LDM,80
K. Gameiro,31,80,ST,80
I. Piatti,33,80,LW,80
V. Birsa,31,80,CAM,80
S. Romero,31,80,GK,80
D. Criscito,31,80,LCB,80
D. Valeri,32,80,RF,80
D. Sturridge,28,80,ST,80
Ra£l Garc¡a,31,80,CAM,80
S. Defour,30,80,LCM,80
M. ?krtel,33,80,LCB,80
S. Radu,31,80,LCB,80
G. Cahill,32,80,CB,80
L. Diarra,33,80,CDM,80
L. Perrin,32,80,RCB,80
Dante,34,80,CB,80
A. Granqvist,33,80,LCB,80
A. Gignac,32,80,ST,80
M. G¢mez,32,80,LS,80
I. Akinfeev,32,80,GK,80
I. Denisov,34,80,RDM,80
Juanfran,33,80,RB,80
Diego L¢pez,36,80,GK,80
Santi Cazorla,33,80,LCM,80
Jes£s Navas,32,80,RM,80
J. Mascherano,34,80,LDM,80
A. Mirante,34,80,GK,80
D. Srna,36,80,RB,80
B. Schweinsteiger,33,80,LCB,80
Moy ,34,80,GK,80
W. Rooney,32,80,ST,80
Fernando Torres,34,80,LS,80
S. Sorrentino,39,80,GK,80
V. Tsygankov,20,86,RM,79
R£ben Dias,21,85,RCB,79
David Neres,21,86,RW,79
Raphinha,21,86,RM,79
A. Harit,21,86,LCM,79
Richarlison,21,86,ST,79
L. Mart¡nez,20,86,ST,79
F. Kessi‚,21,88,CM,79
Luimo Boas Santos,30,79,ST,79
Gabri Prest?o,26,79,GK,79
Melvin Parrela,30,79,LCM,79
Ant“nio Chiamuloira,30,79,CB,79
Maikel Catarino,34,79,RB,79
A. Lunev,26,81,GK,79
Andr‚ Silva,22,87,ST,79
C. Pulisic,19,87,RM,79
M. Dmitrovi?,26,80,GK,79
L. Tousart,21,84,RDM,79
Marcos Llorente,23,87,CDM,79
B. Verbi?,24,81,LM,79
S. Bergwijn,20,86,LW,79
A. Diallo,22,86,LCB,79
A. Golovin,22,85,CAM,79
M. Campa¤a,29,80,GK,79
C. Pav¢n,22,85,RW,79
K. Toko-Ekambi,25,80,LS,79
Granell,29,79,LWB,79
F. Cervi,24,84,LW,79
J. Weigl,22,84,CDM,79
V. Lindel”f,23,85,CB,79
A. Rebi?,24,82,CAM,79
A. Sanabria,22,85,ST,79
R. Battaglia,26,80,CM,79
M. Philipp,24,84,ST,79
A. Saint-Maximin,21,86,RS,79
D. Zappacosta,26,81,RB,79
L. Alario,25,82,ST,79
D. Benedetto,28,79,ST,79
I. Marcone,28,80,RDM,79
J. Gbamin,22,84,RCM,79
J. Lerma,23,84,RCM,79
Ricardo Horta,23,84,LM,79
R. Zobnin,24,86,LDM,79
M. Meyer,22,83,LM,79
Bruma,23,83,LW,79
R. Centuri¢n,25,81,RM,79
Jonny,24,83,LWB,79
Ot vio,23,85,RM,79
J. Hofmann,25,80,CAM,79
N. Ak‚,23,84,CB,79
J. Hector,28,79,LWB,79
S. Kola?inac,25,82,LB,79
G. Pizarro,28,79,LDM,79
Roger,27,80,RS,79
Sergio Rico,24,83,GK,79
L. Milivojevi?,27,81,RCM,79
D. Baselli,26,82,CDM,79
K. Rekik,23,83,CB,79
Denis Su rez,24,86,CM,79
W. Orban,25,81,RCB,79
M rio Rui,27,80,LB,79
I¤igo Mart¡nez,27,80,LCB,79
K. Zouma,23,83,CB,79
Roque Mesa,29,79,CDM,79
J. Brooks,25,84,LCB,79
L. Karius,25,83,GK,79
Z‚ Lu¡s,27,80,ST,79
D. Klaassen,25,81,LCM,79
M. Elyounoussi,23,85,LM,79
L. Bittencourt,24,82,LM,79
Sergi Darder,24,83,RCM,79
J. Roussillon,25,84,LB,79
D. Demme,26,80,CDM,79
J. Gouweleeuw,26,80,RCB,79
M. Rojo,28,79,CB,79
J. Veretout,25,84,CDM,79
L. Kurzawa,25,82,LB,79
G. Ram¡rez,27,79,CAM,79
David L¢pez,28,79,RCB,79
C. T?t?ru?anu,32,79,GK,79
A. Mandi,26,82,RCB,79
D. Sidib‚,25,80,RB,79
Y. Konoplyanka,28,79,LW,79
S. Berghuis,26,80,RW,79
H. Vanaken,25,81,CAM,79
Campa¤a,25,82,CDM,79
M. van Ginkel,25,80,CM,79
Nolito,31,79,LM,79
M. Gregoritsch,24,82,CAM,79
Ibai G¢mez,28,79,RM,79
Danilo,26,80,RB,79
R. Barkley,24,82,CAM,79
M. Ryan,26,81,GK,79
Sergio Le¢n,29,79,ST,79
B. Stambouli,27,79,RCB,79
J. Guilavogui,27,80,CDM,79
S‚rgio Oliveira,26,82,CM,79
D. Caligiuri,30,79,RWB,79
C. Wilson,26,81,ST,79
P. Jones,26,80,CB,79
Borja Garc¡a,27,79,LM,79
Y. Belhanda,28,79,CAM,79
G. Pezzella,27,81,RCB,79
Jaume Costa,30,79,LB,79
C. Tosun,27,80,ST,79
Escudero,28,79,LM,79
Kike Garc¡a,28,79,ST,79
Elkeson,28,79,ST,79
Ricardo Goulart,27,80,CF,79
J. Gu?mundsson,27,79,RM,79
N. Clyne,27,80,RB,79
M. Hitz,30,79,GK,79
De Marcos,29,79,RB,79
B. Mee,28,79,LCB,79
Rafael,27,79,RB,79
Iborra,30,79,CDM,79
J. Wilshere,26,81,CM,79
B. Hbner,28,79,CB,79
Souza,29,79,CDM,79
F. Coquelin,27,80,LCM,79
Alex Teixeira,28,79,LS,79
A. Dzagoev,28,79,RDM,79
I. Smolnikov,29,79,RB,79
Y. M'Vila,28,80,LDM,79
K. Asamoah,29,79,LB,79
R. Zieler,29,80,GK,79
D. Drinkwater,28,79,CM,79
N. Kalini?,30,79,ST,79
Mariano,32,79,RB,79
S. Feghouli,28,79,RM,79
Adrien Silva,29,79,CM,79
Fernando,30,79,CDM,79
I. Traor‚,30,79,RM,79
G. Mercado,31,79,RCB,79
N. Petersen,29,79,RS,79
O. Karnezis,32,79,GK,79
M. Sakho,28,80,CB,79
Sidnei,28,80,LCB,79
S. Joveti?,28,79,ST,79
Eder,31,79,RS,79
J. Hern ndez,30,79,ST,79
Fabricio,30,79,GK,79
Kiko Casilla,31,79,GK,79
?ngel,31,79,ST,79
M. Schneiderlin,28,79,CDM,79
M. Fellaini,30,79,CM,79
P. Wernbloom,32,79,CDM,79
D. Ospina,29,79,GK,79
S. Mignolet,30,79,GK,79
A. Begovi?,31,79,GK,79
N. ?ahin,29,79,CDM,79
R. Bertrand,28,79,LB,79
A. Masiello,32,79,CB,79
T. Walcott,29,79,RM,79
Charles,34,79,LS,79
T. Heaton,32,79,GK,79
H. Ben Arfa,31,79,CAM,79
D. Abraham,31,79,CB,79
E. Lavezzi,33,79,CAM,79
S. Kalou,32,79,LM,79
J. Farf n,33,79,CAM,79
R. Babel,31,79,LM,79
A. Young,32,79,LB,79
J. Hart,31,79,GK,79
L. L¢pez,35,79,LS,79
D. Baier,34,79,CDM,79
B. Y?lmaz,32,79,ST,79
R. Adler,33,79,GK,79
S. Lichtsteiner,34,79,RB,79
E. Adebayor,34,79,ST,79
E. Bel”zo?lu,37,79,CM,79
Loren,24,83,RS,78
der Milit?o,20,87,LCB,78
F. Chiesa,20,87,RW,78
M. Lazzari,24,81,RM,78
A. Hakimi,19,86,LB,78
S. Nakajima,23,84,LW,78
L. Jovi?,20,86,LS,78
S. Ascac¡bar,21,84,CDM,78
A. Lafont,19,90,GK,78
T. Alexander-Arnold,19,88,RB,78
F. Krovinovi?,22,84,CAM,78
Sidney Pessinho,26,78,CDM,78
Everticinho,30,78,RB,78
Claudio Co¡ntra,34,78,CAM,78
Ronaldo Esler,30,78,LB,78
P. Lees-Melou,25,80,RCM,78
B. Chilwell,21,85,LB,78
Jo?o Novais,24,81,CAM,78
D. Calabria,21,88,RB,78
F. Mendy,23,86,LB,78
L. Pellegrini,22,84,CM,78
Soares,27,79,LS,78
Daniel Podence,22,84,LM,78
M. D¡az,32,78,GK,78
G. Mart¡nez,25,82,CAM,78
M. Eggestein,21,84,RCM,78
Trezeguet,23,80,LM,78
N. Amiri,21,85,CAM,78
Vallejo,21,86,CB,78
J. Gomez,21,88,CB,78
Diogo Jota,21,86,LW,78
Joan Jord n,23,83,LCM,78
Dyego Sousa,28,78,ST,78
A. Maru?i?,25,79,RM,78
David Soria,25,80,GK,78
V. Rongier,23,83,RCM,78
W. Weghorst,25,80,LS,78
O. Al Soma,29,78,LS,78
M. Nakamba,24,83,LCM,78
Petros,29,78,LDM,78
Pablo Maffeo,20,86,RWB,78
Y. Mina,23,85,LCB,78
M. D£bravka,29,80,GK,78
Diego Carlos,25,80,RCB,78
D. Djen‚,26,79,RCB,78
G. Simeone,22,85,ST,78
M. Meza,25,79,LM,78
Bastos,26,79,CB,78
S. Lobotka,23,84,CM,78
Y. Tielemans,21,87,CM,78
Marcelo Goiano,30,78,RB,78
K. Tete,22,83,RB,78
Capa,26,81,RB,78
M. Sportiello,26,81,GK,78
Jemerson,25,81,LCB,78
N. Maksimovi?,26,81,CB,78
D. Zapata,27,79,RS,78
J. Correa,23,83,LM,78
E. Rigoni,25,81,RM,78
C. Izquierdoz,29,78,RCB,78
W. Barrios,24,85,CDM,78
J. Mojica,25,81,LWB,78
A. Selikhov,24,82,GK,78
A. Iwobi,22,84,LM,78
D. Laxalt,25,80,LB,78
N. Bentaleb,23,83,CM,78
N. Stark,23,84,CB,78
M. Lemina,24,83,LCM,78
L. Dendoncker,23,84,CB,78
Ricardo Esgaio,25,80,RM,78
P. Sisto,23,84,LW,78
P. Max,24,81,LWB,78
R. Gagliardini,24,82,CDM,78
Pere Pons,25,83,RCM,78
D. Berardi,23,83,RW,78
M. Halstenberg,26,79,LB,78
J. Quintero,25,80,CAM,78
Tiago Volpi,27,80,GK,78
?liver Torres,23,83,CM,78
Omar Mascarell,25,80,CDM,78
H. Sakai,28,78,RB,78
Andreas Pereira,22,84,CM,78
A. Januzaj,23,84,RW,78
B. Cristante,23,86,CM,78
Matheus,25,82,GK,78
B. Traor‚,22,83,RM,78
Y. Poulsen,24,80,RW,78
L. Trossard,23,84,LM,78
M. Arnold,24,83,LCM,78
M. De Sciglio,25,81,RB,78
Leo Baptistao,25,79,RW,78
V. Chiriche?,28,78,CB,78
L. Pavoletti,29,78,RS,78
A. Cragno,24,84,GK,78
L. Castro,29,78,CM,78
